timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
2026-04-24T18:00:21.760128+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.563114,,,,,,,,
2026-04-24T18:00:21.760182+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.717257,,,,,,,,
2026-04-24T18:00:21.760233+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.775796,,,,,,,,
2026-04-24T18:00:21.760549+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:21.760660+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:21.760757+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:21.760815+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:21.760869+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:21.761053+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,127,251,,,,,,,,,,,
2026-04-24T18:00:21.761117+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13522.12712,,,2,0,63,0
2026-04-24T18:00:21.761176+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7113.669025,,,10,0,0,125
2026-04-24T18:00:21.761231+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6053.870416,,,12,0,0,126
2026-04-24T18:00:21.761284+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12807.783341,,,2,0,64,0
2026-04-24T18:00:22.634131+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.90246,,,,,,,,,,,,,,,
2026-04-24T18:00:22.634245+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.774396,,,,,,,,
2026-04-24T18:00:22.634312+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.520688,,,,,,,,
2026-04-24T18:00:22.634372+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.641479,,,,,,,,
2026-04-24T18:00:22.634429+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.673277,,,,,,,,
2026-04-24T18:00:22.634702+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:22.634765+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:22.634826+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:22.634883+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:22.634938+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:22.635122+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,126,250,,,,,,,,,,,
2026-04-24T18:00:22.635187+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7112.618314,,,10,0,0,125
2026-04-24T18:00:22.635249+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12806.048436,,,2,0,64,0
2026-04-24T18:00:22.635308+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6055.725515,,,12,0,0,125
2026-04-24T18:00:22.635366+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13520.074261,,,2,0,62,0
2026-04-24T18:00:23.493868+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.981691,,,,,,,,,,,,,,,
2026-04-24T18:00:23.493977+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.887969,,,,,,,,
2026-04-24T18:00:23.494040+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.568783,,,,,,,,
